Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
meleeWpnBladeT3SealCombatKnife,items,Melee,,,Seal Combat Knife,,Seal Kampfmesser,,,,,,,,,,,
meleeWpnBladeT3SealCombatKnifeDesc,items,Melee,,,"You can always rely on this 11 inches cobalt steel knife to open a tuna can or to Choppity Chop your way out of an infested room.\n\nScraps to Machete Parts and Repairs with Repair Kit.",,"Auf dieses 11-Zoll-Messer aus Kobaltstahl kannst du dich immer verlassen, wenn du eine Thunfischdose öffnen oder dich mit Choppity Chop aus einem verseuchten Raum befreien willst.\n\nZerlegen zu Machetenteile und Reparieren mit Reparaturkit.",,,,,,,,,,, 
meleeWpnClubT3TitaniumBaseballBat,items,Melee,,,Titanium Baseball Bat,,Titan Baseballschläger,,,,,,,,,,,
meleeWpnClubT3TitaniumBaseballBatDesc,items,Melee,,,"An Impressive 32 inches baseball bat made of solid unforgiving hardwood with a Titanium core.\nThe use of the Titanium Baseball Bat was declared a war crime by the UN.\n\nScraps to Club Parts and Repairs with Repair Kit.",,"Ein beeindruckender 32-Zoll-Baseballschläger aus massivem, unnachgiebigem Hartholz mit einem Titan-Kern.\nDie Verwendung des Titan-Baseballschlägers wurde von der UNO zu einem Kriegsverbrechen erklärt.\n\nZerlegen zu Stahlknüppelteile und Reparieren mit Reparaturkit.",,,,,,,,,,,
gunRifleT3WinchesterRifle,items,Gun,,,Winchester 1873 Rifle,,Winchester 1873 Gewehr,,,,,,,,,,,
gunRifleT3WinchesterRifleDesc,items,Gun,,,"'The Gun That Won the West' was one of the most successful rifles of its day. Cowboys love this reliable rifle because it fires the same .44 ammo as their revolver.\n\nFill your hands with this magnificent rifle, saddle up and blaze your trail into the sunset.\n\nScraps to Rifle Parts and Repairs with Repair Kit.",,"'The Gun That Won the West' war eines der erfolgreichsten Gewehre seiner Zeit. Cowboys lieben dieses zuverlässige Gewehr, weil es die gleiche 44er-Munition verschießt wie ihr Revolver.\n\nNimm dieses großartiges Gewehr in deine Hände, sattle auf und bahne dir deinen Weg in den Sonnenuntergang.\n\nZerlegen zu Gewehrteile und Reparieren mit Reparaturkit.",,,,,,,,,,,
gunShotgunT3HollandParadox,items,Gun,,,Holland & Holland Paradox,,Holland & Holland Paradox,,,,,,,,,,,
gunShotgunT3HollandParadoxDesc,items,Gun,,,"Both elegant and extremely powerful, the Holland & Holland Paradox can stop an angry elephant as well as decimate a horde of feral zombies.\nDespite chambering only 2 shells its devastating power remains unmatched to this day.\nIt can shoot HellFire shells.\n\nScraps to Shotgun Parts and Repairs with Repair Kit.",,"Sowohl elegant als auch extrem leistungsfähig, kann die Holland & Holland Paradox sowohl einen wütenden Elefanten aufhalten als auch eine Horde wilder Zombies dezimieren.\nTrotz der Kapazität von nur 2 Patronen bleibt ihre verheerende Kraft bis heute unerreicht.\nSie kann HellFire-Patronen verschießen.\n\nZerlegen zu Schrotflinteteile und Reparieren mit Reparaturkit.",,,,,,,,,,,
gunShotgunT3Remington,items,Gun,,,Remington 870 Shotgun,,Remington 870 Schrotflinte,,,,,,,,,,,
gunShotgunT3RemingtonDesc,items,Gun,,,"A workhorse with a heart of steel, the Remington 870 is one of the most popular shotguns of all time.\n\nNo other pump shotgun can match its sleek classical lines, ultimate strength and smooth, effortless operation.\nThis never-say-die gun is the weapon of choice in the zombie apocalypse.\n\nScraps to Shotgun Parts and Repairs with Repair Kit.",,"Die Remington 870 ist ein Arbeitstier mit einem Herz aus Stahl und eine der beliebtesten Schrotflinten aller Zeiten. Keine andere Pumpgun kann es mit ihren schlanken, klassischen Linien, ihrer ultimativen Stärke und ihrem reibungslosen, mühelosen Betrieb aufnehmen. Diese nur-nicht-verzweifeln Waffe, ist die Waffe der Wahl in der Zombie-Apokalypse.\n\nZerlegen zu Schrotflintenteile und Reparieren mit Reparaturkit.",,,,,,,,,,,
ammoShotgunHellFire,items,Ammo,,,HellFire Shell (Ammo),,HellFire Schrotpatrone (Munition),,,,,,,,,,,
ammoShotgunHellFireDesc,items,Ammo,,,"The HellFire ammunition offers formidable penetration and shock, and will set any foe on fire for a nice 4th July zombie BBQ.\n\nOnly the Holland & Holland Paradox shotgun can chamber these shells",,"Die HellFire-Munition bietet eine enorme Durchschlagskraft und Schockwirkung und setzt jeden Feind für ein nettes Zombie-BBQ am 4. Juli in Brand. Nur die Holland & Holland Paradox-Schrotflinte kann diese Patronen aufnehmen.",,,,,,,,,,,
ammoBundleShotgunHellFire,items,Ammo,,,Box of Hellfire shells (75),,Kiste HellFire Schrotpatronen (75),,,,,,,,,,,
gunAssaultAK74Z,items,Gun,,,AK-74 Z,,AK-74 Z,,,,,,,,,,,
gunAssaultAK74ZDesc,items,Gun,,,"The AK-74 Z was the Russian quick response to the Zombie crisis. More powerful the AK-47, extremely durable and reliable, this weapon will never let you down and will keep firing covered in mud or even underwater.\n\nScraps to Machine Gun Parts and Repairs with Repair Kit.",,"Die AK-74 Z war die schnelle russische Antwort auf die Zombie-Krise. Stärker als die AK-47, extrem langlebig und zuverlässig, wird diese Waffe dich nie im Stich lassen und auch im Schlamm oder sogar unter Wasser weiterfeuern.\n\nZerlegen zu Maschinengewehrteile und Reparieren mit Reparaturkit.",,,,,,,,,,,
gunHandgunMP12,items,Gun,,,MP-12 Machine Pistol,,MP-12 Maschinenpistole,,,,,,,,,,,
gunHandgunMP12Desc,items,Gun,,,"Previously the weapon of choice for many street gangs, the incredible rate of fire and ease of use of the MP-12 made it very popular between middle class housewifes during the Zombie Outbreak. This Machine Pistol fires .44 and incorporates a built-in Sionics Supressor that improves weapon handling.\n\nScraps to Handgun Parts and Repairs with Repair Kit.",,"Früher war die MP-12 die Waffe der Wahl für viele Straßengangs. Die unglaubliche Feuerrate und die einfache Handhabung der MP-12 machten sie während des Zombie-Ausbruchs sehr beliebt bei Hausfrauen der Mittelklasse. Diese Maschinenpistole feuert mit .44er Munition und verfügt über einen eingebauten Sionics Schalldämpfer, der die Handhabung der Waffe verbessert.\n\nZerlegen zu Handfeuerwaffenteile und Reparieren mit Reparaturkit.",,,,,,,,,,, 
