Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

xuiOptionsVideoDynamicMeshEnabledTooltip,UI,Xui Video Option,x,,"REQUIRES RELOADING THE GAME FROM THE MAIN MENU\nEnables or Disables the Dynamic Mesh System.\nWhen Enabled, distant player buildings and POI destruction will show in the distance. ",,"ERFORDERT EINEN NEUSTART VOM HAUPTMENÜ AUS.\nAktiviert oder deaktiviert das Dynamische Meshing.\nWenn diese Option aktiviert ist, werden entfernte Spielergebäude und zerstörte Sehenswürdigkeiten in der Ferne angezeigt. ","REQUIERE RECARGAR EL JUEGO DESDE EL MENÚ PRINCIPAL\nActiva o desactiva el sistema de malla dinámica\nCuando está activada, los edificios lejanos del jugador y destrucción PDI se mostrarán a la distancia. ","EXIGE DE RECHARGER LE JEU DEPUIS LE MENU PRINCIPAL\nActive ou désactive le système de maille dynamique.\nLorsqu'il est activé, les bâtiments de joueurs éloignés et la destruction de points d'intérêt seront visibles au loin. ","È NECESSARIO RICARICARE IL GIOCO DAL MENU PRINCIPALE\nAttiva o disattiva il sistema di rete dinamico.\nQuando attivo, gli edifici distanti del giocatore e la distruzione PDI verrà mostrata a distanza. ",「再起動が必要です」\nダイナミックメッシュシステムを有効、または無効化します。\n有効だと、遠くにあるプレイヤーが建てた建物やPOIへの変更が、表示されます。,"게임을 메인 메뉴에서 다시 불러와야 합니다\n다이나믹 메쉬 시스템을 켜거나 끕니다.\n활성화해두면 멀리 있는 플레이어 건물 및 POI 파괴가 멀리에서도 확인 가능합니다. ","WYMAGA PONOWNEGO WCZYTANIA GRY Z GŁÓWNEGO MENU\nWłączenie lub wyłączenie systemu siatki dynamicznej.\nPo włączeniu, dalekie budynki graczy i zniszczenia POI będą pokazywane z daleka. ","REQUER RECARREGAMENTO DO JOGO A PARTIR DO MENU PRICIPAL\nAtiva ou desativa o sistema de malha dinâmica.\nQuando ativado, construções de jogador distantes e destruição de PDT aparecerão à distância. ","ТРЕБУЕТСЯ ПЕРЕЗАПУСК ИГРЫ ИЗ ГЛАВНОГО МЕНЮ\nВключает или выключает систему динамической сетки.\nЕсли она включена, то удаленные здания игрока и уничтожение важных объектов будут видны на расстоянии. ","OYUNU ANA MENÜDEN YENİDEN BAŞLATMAYI GEREKTİRİR\nDinamik Mesh Sistemini Etkinleştirir veya Devre Dışı bırakır.\nEtkinleştirildiğinde uzaktaki oyuncu binaları ve İlgi Alanı yıkımları görünür. ","需要从主菜单重新加载游戏\n启用或停用动态网格系统。\n启用时，远方的玩家建筑和目标点毁坏会显示在远处。 ","需要自主選單重新載入遊戲\n啟用或停用動態網格系統。\n啟用時，遠方玩家建築和訊息點毀壞會顯示在遠處。 "

trader_joel_quest_incomplete_04,UI,Subtitles,,,"If you finish that other errand, I'll have something for you.",,"Wenn du den anderen Auftrag erledigt hast, habe ich was für dich.","Cuando termines ese otro encargo, tendré algo para ti.","Si tu finis cette tâche, j'aurai un truc pour toi.","Quando finirai l'incarico che ti ho dato, te ne darò un altro.",受けてる仕事を終わらせたら、次のを紹介しますよ。,,"Jak skończysz tamto zlecenie, to coś dla ciebie znajdę.","Se você terminar o outro afazer, eu encontrarei algo pra você.","Выполни прошлое поручение, и у меня найдется еще.","Diğer işi bitirirsen sana bir şey vereceğim.","“如果你完成了另外那份工作，我会有活儿给你干的。”","如果你完成其他差事，我會給你一些獎勵。"
trader_jen_sale_declined_14,UI,Subtitles,,,"If you find any extra medicine out there, I'll buy it off of you for a discount.",,"Wenn du da draußen noch mehr Medikamente findest, kaufe ich sie dir mit einem Rabatt ab.","Si encuentras más medicamentos allí fuera, te los compraré a un buen precio.","Si tu tombes sur des médicaments, je te les achète à prix réduit !","Se trovi qualche medicinale extra là fuori, te lo compro in cambio di uno sconto.",余分な医薬品があれば、安く売ってね。,"혹시 저 밖에서 약을 찾으시면, 제가 할인가에 매입해드릴게요.","Jeśli natkniesz się na jakieś niepotrzebne leki, odkupię je za obniżoną cenę.","“Se você tiver com medicamente sobrando, eu compro de você e dou um desconto.”","Если найдете где-нибудь ненужные медикаменты, то я их у вас куплю и предоставлю вам скидку.","Başka bir yerde farklı ilaçlar bulursan senin için indirimli olarak satın alabilirim.","“如果你在外面找到多余的药，我愿意折价购买。”","如果你在外面找到多的藥，我可以用折扣價買下來。"
trader_jen_refuse_04,UI,Subtitles,,,"No thanks, I don't have room for any more of those.",,"Nein, danke. Davon habe ich keinen Platz mehr.","No, gracias, no tengo más espacio para esto.","Non merci. Je n'ai plus la place pour ça.","No grazie, non ho spazio per altre scorte di quella roba.",ごめんなさい、これ以上それを保管するスペースがないの。,"아니에요. 이건 둘 공간이 없어요.","Dzięki, ale nie. Nie mam już miejsca na kolejne sztuki.","“Obrigada, eu não tenho mais espaço para isso.”","Благодарю, но места для этого у меня нет.","Sağ ol ama bunlar için hiç yerim kalmadı.","“不用了，谢谢，我没地方放更多那种东西了。”","不了，謝謝，我沒空間裝更多那種東西了。"
trader_jen_quest_incomplete_04,UI,Subtitles,,,"If you finish that other job, I'll have something for you.",,"Wenn du den anderen Job erledigt hast, hab ich was für dich.","Cuando termines ese otro trabajo, tendré algo para ti.","Si tu finis ce boulot, j'aurai un truc pour toi.","Se finisci quel lavoro, ho un'altra cosa da farti fare.",受けてる仕事を完了させたら、次のを紹介するわ。,"다른 일을 마치고 나면, 또 다른 일을 드릴게요.","Jak skończysz tamtą robotę, to coś dla ciebie znajdę.","Se você terminar o outro trabalho, terei algo para você.","Надо выполнить работу, о которой договаривались, и у меня найдется еще.","O diğer işi bitirirsen sana bir şey vereceğim.","“如果你完成了另外那份工作，我会有活儿给你干的。”","如果你完成那份工作，我會給你一些獎勵。"
trader_jen_quest_declined_07,UI,Subtitles,,,Are you scared of a little work? And I thought you were a tough wastelander.,,"Hast du Angst vor ein bisschen Arbeit? Und ich dachte, du wärst ein harter Ödländer.","¿Te asusta un insignificante trabajito? Y yo que pensaba que la gente del páramo era tenaz.","Ça te fait peur, un peu de boulot ? Je t'imaginais plus coriace.","Ti spaventa un po' di lavoro? E io che pensavo che gli abitanti della landa fossero dei duri.",あら、ちょっとした仕事なのに怖いの？荒れ地慣れしたタフな人だと思ってたのに。,"겨우 이 정도 일이 그렇게 무서워요? 터프한 사람인 줄 알았는데.","Boisz się odrobiny roboty? Myślałam, że mam do czynienia z kimś twardszym.","“Está com medinho de um trabalho? Pensei que fosse casca-grossa.”","Вы что, боитесь работы? А мне-то казалось, что вы из числа суровых выживальщиков.","Ne o, biraz çalışmaktan korktun mu? Ben de seni sağlam bir çorak arazili sanmıştım.","“你是在害怕一点小工作吗？我还以为你是强悍的荒野高手。”","你怕這一點點工作嗎？我還以為你是一個勇敢的荒原來客。"
trader_jen_quest_accepted_03,UI,Subtitles,,,"If you finish two more jobs this week, I'll give you employee of the month!",,"Wenn du diese Woche noch zwei weitere Jobs erledigst, ernenne ich dich zum Mitarbeiter des Monats!","Si completas dos trabajos más esta semana, ¡te daré el premio al empleado del mes!","Si tu termines encore deux missions cette semaine, je te donnerai le titre d'employé du mois !","Se porti a termine altri due lavori questa settimana ti darò la nomina di miglior impiegato del mese!",今週中にあと2つ仕事を終わらせたら、今月の優秀作業員に選ばれますよ！,"이번 주에 일 두 개를 더 완수하면, 이달의 직원으로 선정해드릴게요!","Jak załatwisz w tym tygodniu jeszcze dwie sprawy, zostaniesz pracownikiem miesiąca!","“Se você terminar mais dois trabalhos esta semana eu darei a você... o prêmio de empregado do mês!”","Если на этой неделе выполните еще пару заданий, то станете работником месяца!","Bu hafta iki iş daha bitirirsen sana ayın çalışanı ödülünü vereceğim!","“如果你这周再完成两件工作，我就给你本月最佳员工的称号！”","如果你這禮拜再完成兩項工作，我就讓你當本月最佳員工！"
trader_jen_idle_21,UI,Subtitles,,,I need some more coffee.,,"Ich brauche noch etwas Kaffee.","Necesito más café.","Il me faut un café.","Mi serve altro caffè.",もう少しブラックストラップコーヒーが欲しいわね。,"커피가 필요해요.","Potrzebuję więcej kawy.","“Preciso de mais café.”","Нужно выпить еще кофе.","Biraz daha kahve içmem lazım.","“我需要更多咖啡！”","我需要更多咖啡。"
